Name;Description;Group_of_People;Name_length;Description_length;desc_w/o_stopwords;name_w/o_stopwords;desc_plain;desc_token;desc_types;desc_TTR
List of 28 Days Later characters;Characters from the Days Later series (the films 28 Days Later and 28 Weeks Later and from the graphic novel 28 Days Later: The Aftermath) are listed below.;Film People;32;156;Characters Days Later series (the films 28 Days Later 28 Weeks Later graphic novel 28 Days Later: The Aftermath) listed below.;List 28 Days Later characters;characters from the days later series the films 28 days later and 28 weeks later and from the graphic novel 28 days later the aftermath are listed below ;28;16;57.14285714285714
AFI's 100 Years...100 Heroes & Villains;AFI's 100 Years... 100 Heroes & Villains is a list of the one hundred greatest screen characters (fifty each in the hero and villain categories) as chosen by the American Film Institute in June 2003. It is part of the AFI 100 Years... series. The list was first presented in a CBS special hosted by Arnold Schwarzenegger. The presentation program was nominated for an Emmy Award for Outstanding Nonfiction Special.;Film People;39;414;AFI's 100 Years... 100 Heroes & Villains list one hundred greatest screen characters (fifty hero villain categories) chosen American Film Institute June 2003. It part AFI 100 Years... series. The list first presented CBS special hosted Arnold Schwarzenegger. The presentation program nominated Emmy Award Outstanding Nonfiction Special.;AFI's 100 Years...100 Heroes & Villains;afi s 100 years  100 heroes  villains is a list of the one hundred greatest screen characters fifty each in the hero and villain categories as chosen by the american film institute in june 2003 it is part of the afi 100 years  series the list was first presented in a cbs special hosted by arnold schwarzenegger the presentation program was nominated for an emmy award for outstanding nonfiction special ;70;51;72.85714285714285
List of American Pie characters;"This is a list of characters from the film series American Pie consisting of American Pie (1999), American Pie 2 (2001), American Wedding (2003), American Pie Presents: Band Camp (2005), American Pie Presents: The Naked Mile (2006), American Pie Presents: Beta House (2007), American Pie Presents: The Book of Love (2009), American Reunion (2012), and American Pie Presents: Girls' Rules (2020). Noah Levenstein, played by Eugene Levy, has appeared in eight of the nine released films. Biggs, Hannigan, Scott, Nicholas, Thomas, Coolidge, Cho, Isfield, Cheek, and Owen all play their characters in four films each; other characters appear in fewer films.";Film People;31;653;"This list characters film series American Pie consisting American Pie (1999), American Pie 2 (2001), American Wedding (2003), American Pie Presents: Band Camp (2005), American Pie Presents: The Naked Mile (2006), American Pie Presents: Beta House (2007), American Pie Presents: The Book Love (2009), American Reunion (2012), American Pie Presents: Girls' Rules (2020). Noah Levenstein, played Eugene Levy, appeared eight nine released films. Biggs, Hannigan, Scott, Nicholas, Thomas, Coolidge, Cho, Isfield, Cheek, Owen play characters four films each; characters appear fewer films.";List American Pie characters;this is a list of characters from the film series american pie consisting of american pie 1999  american pie 2 2001  american wedding 2003  american pie presents band camp 2005  american pie presents the naked mile 2006  american pie presents beta house 2007  american pie presents the book of love 2009  american reunion 2012  and american pie presents girls rules 2020  noah levenstein played by eugene levy has appeared in eight of the nine released films biggs hannigan scott nicholas thomas coolidge cho isfield cheek and owen all play their characters in four films each other characters appear in fewer films ;101;68;67.32673267326733
List of Baahubali characters;This is a list of characters featured in the Baahubali franchise which consists of two films, a novel, a comic and an upcoming television series. They are all characters which have The Beginning (2015), The Conclusion (2017), The Lost Legends (2017) and the novel The Rise of Sivagami (2017).;Film People;28;292;This list characters featured Baahubali franchise consists two films, novel, comic upcoming television series. They characters The Beginning (2015), The Conclusion (2017), The Lost Legends (2017) novel The Rise Sivagami (2017).;List Baahubali characters;this is a list of characters featured in the baahubali franchise which consists of two films a novel a comic and an upcoming television series they are all characters which have the beginning 2015  the conclusion 2017  the lost legends 2017 and the novel the rise of sivagami 2017 ;49;34;69.38775510204081
List of Back to the Future characters;"The Back to the Future film trilogy and subsequent animated series feature characters created by Robert Zemeckis and Bob Gale.
The lead character of the series is Marty McFly. During the course of the trilogy, he travels through time using a DeLorean time machine invented by his friend Emmett Brown. He also encounters the villain, Biff Tannen, in several different time periods and visits his family ancestors and descendants.";Film People;37;428;The Back Future film trilogy subsequent animated series feature characters created Robert Zemeckis Bob Gale. The lead character series Marty McFly. During course trilogy, travels time using DeLorean time machine invented friend Emmett Brown. He also encounters villain, Biff Tannen, several different time periods visits family ancestors descendants.;List Back Future characters;"the back to the future film trilogy and subsequent animated series feature characters created by robert zemeckis and bob gale 
the lead character of the series is marty mcfly during the course of the trilogy he travels through time using a delorean time machine invented by his friend emmett brown he also encounters the villain biff tannen in several different time periods and visits his family ancestors and descendants ";69;52;75.36231884057972
List of Buffy the Vampire Slayer characters;This article lists the major and recurring fictional characters created by Joss Whedon for the television series Buffy the Vampire Slayer. For detailed descriptions, see individual character pages.;Film People;43;197;This article lists major recurring fictional characters created Joss Whedon television series Buffy Vampire Slayer. For detailed descriptions, see individual character pages.;List Buffy Vampire Slayer characters;this article lists the major and recurring fictional characters created by joss whedon for the television series buffy the vampire slayer for detailed descriptions see individual character pages ;28;25;89.28571428571429
List of minor Buffy the Vampire Slayer characters;Buffy the Vampire Slayer is an American franchise which spans across several media and genres. It began in 1992 with the film Buffy the Vampire Slayer, written by Joss Whedon and directed by Fran Rubel Kuzui, and was resurrected as the television series, Buffy the Vampire Slayer in 1997. The show's popularity caused it to spawn a multitude of Expanded Universe tie-in material such as comic books, novels, video games, as well as a spin-off program entitled Angel. In 2007, four years after the television series' seventh and final season, Buffy the Vampire Slayer was officially continued in the comic book Season Eight. The following is a list of minor recurring characters who appear in the franchise.;Film People;49;706;Buffy Vampire Slayer American franchise spans across several media genres. It began 1992 film Buffy Vampire Slayer, written Joss Whedon directed Fran Rubel Kuzui, resurrected television series, Buffy Vampire Slayer 1997. The show's popularity caused spawn multitude Expanded Universe tie-in material comic books, novels, video games, well spin-off program entitled Angel. In 2007, four years television series' seventh final season, Buffy Vampire Slayer officially continued comic book Season Eight. The following list minor recurring characters appear franchise.;List minor Buffy Vampire Slayer characters;buffy the vampire slayer is an american franchise which spans across several media and genres it began in 1992 with the film buffy the vampire slayer written by joss whedon and directed by fran rubel kuzui and was resurrected as the television series buffy the vampire slayer in 1997 the show s popularity caused it to spawn a multitude of expanded universe tie-in material such as comic books novels video games as well as a spin-off program entitled angel in 2007 four years after the television series seventh and final season buffy the vampire slayer was officially continued in the comic book season eight the following is a list of minor recurring characters who appear in the franchise ;118;77;65.2542372881356
List of Buffyverse villains and supernatural beings;The following is a list of demons, vampires, human monsters, walking dead, ghosts, beasts and any kind of evil being or supernatural creature seen in the Buffyverse (created by Joss Whedon).;Film People;51;190;The following list demons, vampires, human monsters, walking dead, ghosts, beasts kind evil supernatural creature seen Buffyverse (created Joss Whedon).;List Buffyverse villains supernatural beings;the following is a list of demons vampires human monsters walking dead ghosts beasts and any kind of evil being or supernatural creature seen in the buffyverse created by joss whedon ;31;29;93.54838709677419
List of fictional cats in film;This list of fictional cats and other felines is subsidiary to the list of fictional cats. It is restricted solely to notable feline characters from notable live action, (or primarily live action) films. For characters that appear in several separate films, only the earliest film will be recorded here.;Film People;30;303;This list fictional cats felines subsidiary list fictional cats. It restricted solely notable feline characters notable live action, (or primarily live action) films. For characters appear several separate films, earliest film recorded here.;List fictional cats film;this list of fictional cats and other felines is subsidiary to the list of fictional cats it is restricted solely to notable feline characters from notable live action  or primarily live action films for characters that appear in several separate films only the earliest film will be recorded here ;49;37;75.51020408163265
List of Austin Powers characters;"The following is a list of fictional characters from the Austin Powers series of films.

Austin Powers is a series of American spy action comedy films: Austin Powers: International Man of Mystery (1997), Austin Powers: The Spy Who Shagged Me (1999) and Austin Powers in Goldmember (2002). The films were produced and written by Mike Myers, who also starred as the title character and Dr. Evil. They were directed by Jay Roach and distributed by New Line Cinema.
The franchise parodies numerous films, TV shows and characters — including the James Bond series, Jason King, Danger Man, The Prisoner, The Man from U. N. C. L. E., Matt Helm and The Avengers, to name just a few — and incorporates myriad other elements of popular culture as it follows a British spy's quest to bring his nemesis down. The character represents an archetype of 1960s Swinging London, with his advocacy of free love, his use of obscure impressions and his clothing style.
The films poke fun at the outrageous plots, rampant sexual innuendo, and two dimensional stock characters associated with 1960s spy films, as well as the cliché of the ultra suave super spy.
The general theme of the films is that the arch villain Dr. Evil plots to extort large sums of money from governments or international bodies but is constantly thwarted by Powers, and (to a degree) his own inexperience with life and culture in the 1990s.
In Austin Powers: International Man of Mystery, Austin and Dr. Evil are awakened after being cryogenically frozen for thirty years. Continuing to incorporate cultural elements of the 1960s and 1970s, Austin Powers: The Spy Who Shagged Me and Austin Powers in Goldmember feature time travel as a plot device and deliberately overlook inconsistencies. A proposed fourth film, Austin Powers 4, has reportedly been in development since 2005, but has since been stalled.";Film People;32;1859;The following list fictional characters Austin Powers series films. Austin Powers series American spy action comedy films: Austin Powers: International Man Mystery (1997), Austin Powers: The Spy Who Shagged Me (1999) Austin Powers Goldmember (2002). The films produced written Mike Myers, also starred title character Dr. Evil. They directed Jay Roach distributed New Line Cinema. The franchise parodies numerous films, TV shows characters — including James Bond series, Jason King, Danger Man, The Prisoner, The Man U. N. C. L. E., Matt Helm The Avengers, name — incorporates myriad elements popular culture follows British spy's quest bring nemesis down. The character represents archetype 1960s Swinging London, advocacy free love, use obscure impressions clothing style. The films poke fun outrageous plots, rampant sexual innuendo, two dimensional stock characters associated 1960s spy films, well cliché ultra suave super spy. The general theme films arch villain Dr. Evil plots extort large sums money governments international bodies constantly thwarted Powers, (to degree) inexperience life culture 1990s. In Austin Powers: International Man Mystery, Austin Dr. Evil awakened cryogenically frozen thirty years. Continuing incorporate cultural elements 1960s 1970s, Austin Powers: The Spy Who Shagged Me Austin Powers Goldmember feature time travel plot device deliberately overlook inconsistencies. A proposed fourth film, Austin Powers 4, reportedly development since 2005, since stalled.;List Austin Powers characters;"the following is a list of fictional characters from the austin powers series of films 

austin powers is a series of american spy action comedy films austin powers international man of mystery 1997  austin powers the spy who shagged me 1999 and austin powers in goldmember 2002  the films were produced and written by mike myers who also starred as the title character and dr evil they were directed by jay roach and distributed by new line cinema 
the franchise parodies numerous films tv shows and characters  including the james bond series jason king danger man the prisoner the man from u n c l e  matt helm and the avengers to name just a few  and incorporates myriad other elements of popular culture as it follows a british spy s quest to bring his nemesis down the character represents an archetype of 1960s swinging london with his advocacy of free love his use of obscure impressions and his clothing style 
the films poke fun at the outrageous plots rampant sexual innuendo and two dimensional stock characters associated with 1960s spy films as well as the cliché of the ultra suave super spy 
the general theme of the films is that the arch villain dr evil plots to extort large sums of money from governments or international bodies but is constantly thwarted by powers and to a degree his own inexperience with life and culture in the 1990s 
in austin powers international man of mystery austin and dr evil are awakened after being cryogenically frozen for thirty years continuing to incorporate cultural elements of the 1960s and 1970s austin powers the spy who shagged me and austin powers in goldmember feature time travel as a plot device and deliberately overlook inconsistencies a proposed fourth film austin powers 4 has reportedly been in development since 2005 but has since been stalled ";310;173;55.80645161290323
Characters of the DC Extended Universe;"The DC Extended Universe (DCEU) is an American media franchise and shared universe centered on superhero films and other series starring various titular superheroes produced by DC Films, distributed by Warner Bros. Pictures, and based on characters that appear in American comic books published by DC Comics.  Despite numerous film series in the past on characters such as Superman, Batman, and Green Lantern, none of those film series were connected. The DCEU debuted in 2013 with Man of Steel, centered on Superman, and has grown to include other characters such as Batman, Wonder Woman, and several others included in this list. The shared universe, much like the original DC Universe in comic books, was established by crossing over common plot elements, settings, cast, and characters, and may cross over with separate timelines from other DC-licensed film series in the future in order to create a ""multiverse"".";Film People;38;917;"The DC Extended Universe (DCEU) American media franchise shared universe centered superhero films series starring various titular superheroes produced DC Films, distributed Warner Bros. Pictures, based characters appear American comic books published DC Comics. Despite numerous film series past characters Superman, Batman, Green Lantern, none film series connected. The DCEU debuted 2013 Man Steel, centered Superman, grown include characters Batman, Wonder Woman, several others included list. The shared universe, much like original DC Universe comic books, established crossing common plot elements, settings, cast, characters, may cross separate timelines DC-licensed film series future order create ""multiverse"".";Characters DC Extended Universe;"the dc extended universe dceu is an american media franchise and shared universe centered on superhero films and other series starring various titular superheroes produced by dc films distributed by warner bros pictures and based on characters that appear in american comic books published by dc comics  despite numerous film series in the past on characters such as superman batman and green lantern none of those film series were connected the dceu debuted in 2013 with man of steel centered on superman and has grown to include other characters such as batman wonder woman and several others included in this list the shared universe much like the original dc universe in comic books was established by crossing over common plot elements settings cast and characters and may cross over with separate timelines from other dc-licensed film series in the future in order to create a ""multiverse"" ";146;91;62.328767123287676
List of characters played by multiple actors in the same film;"This is a list of characters who have been played by multiple actors in the same film.  This does not include:

Stunt doubles/body doubles
Infants or very young children
Actors playing a younger/older version of a character in a brief flash-back/flash-forward (However, actors who play the same character at different ages for an extended portion of the movie may be included).
Large puppets or animatronic characters controlled by multiple performers
Characters with shape-shifting abilities who are almost always played by one actor except when using their abilities. (e.g. The T-1000 from Terminator 2: Judgment Day or Mystique from the X-Men films)  Exceptions may be made for characters for whom there is no one ""default"" actor.";Film People;61;733;"This list characters played multiple actors film. This include: Stunt doubles/body doubles Infants young children Actors playing younger/older version character brief flash-back/flash-forward (However, actors play character different ages extended portion movie may included). Large puppets animatronic characters controlled multiple performers Characters shape-shifting abilities almost always played one actor except using abilities. (e.g. The T-1000 Terminator 2: Judgment Day Mystique X-Men films) Exceptions may made characters one ""default"" actor.";List characters played multiple actors film;"this is a list of characters who have been played by multiple actors in the same film  this does not include 

stunt doubles/body doubles
infants or very young children
actors playing a younger/older version of a character in a brief flash-back/flash-forward however actors who play the same character at different ages for an extended portion of the movie may be included 
large puppets or animatronic characters controlled by multiple performers
characters with shape-shifting abilities who are almost always played by one actor except when using their abilities  e g the t-1000 from terminator 2 judgment day or mystique from the x-men films  exceptions may be made for characters for whom there is no one ""default"" actor ";116;81;69.82758620689656
List of Clueless characters;This is a list of characters in the original film version of Clueless and the subsequent television series of the same name. The original characters were created by Amy Heckerling, writer and director of the film.;Film People;27;213;This list characters original film version Clueless subsequent television series name. The original characters created Amy Heckerling, writer director film.;List Clueless characters;this is a list of characters in the original film version of clueless and the subsequent television series of the same name the original characters were created by amy heckerling writer and director of the film ;36;25;69.44444444444444
List of Die Hard characters;The characters in the Die Hard film series, including John McClane (played by Bruce Willis), are based on the 1979 novel Nothing Lasts Forever by Roderick Thorp.;Film People;27;161;The characters Die Hard film series, including John McClane (played Bruce Willis), based 1979 novel Nothing Lasts Forever Roderick Thorp.;List Die Hard characters;the characters in the die hard film series including john mcclane played by bruce willis  are based on the 1979 novel nothing lasts forever by roderick thorp ;27;24;88.88888888888889
List of The Expendables characters;This is a list of characters in The Expendables franchise.;Film People;34;58;This list characters The Expendables franchise.;List The Expendables characters;this is a list of characters in the expendables franchise ;10;10;100.0
List of Fantastic Beasts characters;This is a list of characters from the Fantastic Beasts films.;Film People;35;61;This list characters Fantastic Beasts films.;List Fantastic Beasts characters;this is a list of characters from the fantastic beasts films ;11;11;100.0
List of The Godfather characters;This is a list of characters from the film series The Godfather consisting of The Godfather (1972), The Godfather Part II (1974) and The Godfather Part III (1990), based on Mario Puzo's best-selling 1969 novel of the same name, as well as the book series The Godfather consisting of the original, Puzo's The Sicilian (1984), Mark Winegardner's The Godfather Returns (2004) and The Godfather's Revenge (2006), and Edward Falco's prequel novel The Family Corleone (2012). There are also three video games set within The Godfather universe were also created: The Godfather (1991), The Godfather (2006) and The Godfather II (2009).;Film People;32;627;This list characters film series The Godfather consisting The Godfather (1972), The Godfather Part II (1974) The Godfather Part III (1990), based Mario Puzo's best-selling 1969 novel name, well book series The Godfather consisting original, Puzo's The Sicilian (1984), Mark Winegardner's The Godfather Returns (2004) The Godfather's Revenge (2006), Edward Falco's prequel novel The Family Corleone (2012). There also three video games set within The Godfather universe also created: The Godfather (1991), The Godfather (2006) The Godfather II (2009).;List The Godfather characters;this is a list of characters from the film series the godfather consisting of the godfather 1972  the godfather part ii 1974 and the godfather part iii 1990  based on mario puzo s best-selling 1969 novel of the same name as well as the book series the godfather consisting of the original puzo s the sicilian 1984  mark winegardner s the godfather returns 2004 and the godfather s revenge 2006  and edward falco s prequel novel the family corleone 2012  there are also three video games set within the godfather universe were also created the godfather 1991  the godfather 2006 and the godfather ii 2009 ;105;60;57.14285714285714
List of Gran Torino characters;"The following is a list of significant characters who feature in the 2008 film Gran Torino, directed by Clint Eastwood.
Casting calls were held in Fresno, California, Detroit, Michigan, and Saint Paul, Minnesota, from which Eastwood selected ten Hmong American lead actors and supporting actors. Of them, only one was not a first time actor. Of the Hmong cast, five, including Bee Vang, one of the principal actors, were from the state of Minnesota. Ahney Her comes from Lansing, Michigan. The casting agency Pound & Mooney recruited thirty actors and over 500 extras. The firm recruited many Hmong actors from a Hmong soccer tournament in Macomb County, Michigan. Sandy Ci Moua, a Hmong actress based in the Minneapolis-St. Paul area, assisted with the film's casting of Hmong actors.One actor who auditioned praised how the casting avoided the typical Asian stereotypes in favor of authenticity, saying ""They could have walked down Hollywood and looked for some Korean, Chinese, whatever, Asian-American actors, and say, 'Hey, can we teach you a few Hmong (words),' like they do in other movies, just mimic the words. But no, they said, 'We want real Hmong-speaking actors.' Asian Americans, we can tell, 'That guy's not Chinese! That guy's not Korean!' So, stop trying to fool us.""";Film People;30;1284;"The following list significant characters feature 2008 film Gran Torino, directed Clint Eastwood. Casting calls held Fresno, California, Detroit, Michigan, Saint Paul, Minnesota, Eastwood selected ten Hmong American lead actors supporting actors. Of them, one first time actor. Of Hmong cast, five, including Bee Vang, one principal actors, state Minnesota. Ahney Her comes Lansing, Michigan. The casting agency Pound & Mooney recruited thirty actors 500 extras. The firm recruited many Hmong actors Hmong soccer tournament Macomb County, Michigan. Sandy Ci Moua, Hmong actress based Minneapolis-St. Paul area, assisted film's casting Hmong actors.One actor auditioned praised casting avoided typical Asian stereotypes favor authenticity, saying ""They could walked Hollywood looked Korean, Chinese, whatever, Asian-American actors, say, 'Hey, teach Hmong (words),' like movies, mimic words. But no, said, 'We want real Hmong-speaking actors.' Asian Americans, tell, 'That guy's Chinese! That guy's Korean!' So, stop trying fool us.""";List Gran Torino characters;"the following is a list of significant characters who feature in the 2008 film gran torino directed by clint eastwood 
casting calls were held in fresno california detroit michigan and saint paul minnesota from which eastwood selected ten hmong american lead actors and supporting actors of them only one was not a first time actor of the hmong cast five including bee vang one of the principal actors were from the state of minnesota ahney her comes from lansing michigan the casting agency pound  mooney recruited thirty actors and over 500 extras the firm recruited many hmong actors from a hmong soccer tournament in macomb county michigan sandy ci moua a hmong actress based in the minneapolis-st paul area assisted with the film s casting of hmong actors one actor who auditioned praised how the casting avoided the typical asian stereotypes in favor of authenticity saying ""they could have walked down hollywood and looked for some korean chinese whatever asian-american actors and say  hey can we teach you a few hmong words  like they do in other movies just mimic the words but no they said  we want real hmong-speaking actors  asian americans we can tell  that guy s not chinese that guy s not korean  so stop trying to fool us """;213;138;64.7887323943662
List of Highlander characters;This is a list of characters from the Highlander franchise.;Film People;29;59;This list characters Highlander franchise.;List Highlander characters;this is a list of characters from the highlander franchise ;10;10;100.0
